id,name,recclass,mass_grams,year,reclat,reclong,GeoLocation
132,Bori,L6,8600.0,1894,21.95,78.03333,"(21.95, 78.03333)"
133,Boriskino,CM2,1342.0,1930,54.23333,52.48333,"(54.23333, 52.48333)"
134,Borkut,L5,7000.0,1852,48.15,24.28333,"(48.15, 24.28333)"
135,Borodino,H5,500.0,1812,55.46666999999999,35.86667,"(55.46667, 35.86667)"
136,Botschetschki,L4,614.0,1823,51.33333,33.88333,"(51.33333, 33.88333)"
137,Boumdeid (2003),L6,190.0,2003,17.71067,-11.3715,"(17.71067, -11.3715)"
138,Boumdeid (2011),L6,3599.0,2011,17.17493,-11.341330000000001,"(17.17493, -11.34133)"
139,Bovedy,L3,5460.0,1969,54.566669999999995,-6.33333,"(54.56667, -6.33333)"
140,Bradford Woods,L,762.0,1886,40.5,-80.08333,"(40.5, -80.08333)"
141,Braunau,"Iron, IIAB",39000.0,1847,50.6,16.3,"(50.6, 16.3)"
142,Breitscheid,H5,1500.0,1956,50.666940000000004,8.18361,"(50.66694, 8.18361)"
143,Bremervörde,H/L3.9,7250.0,1855,53.4,9.1,"(53.4, 9.1)"
144,Brient,Eucrite-pmict,219.0,1933,52.13333,59.316669999999995,"(52.13333, 59.31667)"
145,Bruderheim,L6,303000.0,1960,53.9,-112.88333,"(53.9, -112.88333)"
146,Bukhara,CV3,5300.0,2001,39.77978,64.60035,"(39.77978, 64.60035)"
148,Bunburra Rockhole,Eucrite,324.0,2007,-31.35,129.19,"(-31.35, 129.19)"
149,Bununu,Howardite,357.0,1942,10.01667,9.58333,"(10.01667, 9.58333)"
150,Bur-Gheluai,H5,120000.0,1919,5.0,48.0,"(5.0, 48.0)"
151,Burnwell,H4-an,1504.0,1990,37.62194,-82.23722,"(37.62194, -82.23722)"
152,Bursa,L6,25000.0,1946,40.2,29.23333,"(40.2, 29.23333)"
153,Buschhof,L6,5000.0,1863,46.45,25.78333,"(46.45, 25.78333)"
154,Bustee,Aubrite,1500.0,1852,26.78333,82.83333,"(26.78333, 82.83333)"
155,Butsura,H6,29000.0,1861,27.08333,84.08333,"(27.08333, 84.08333)"
156,Buzzard Coulee,H4,41000.0,2008,52.996,-109.84817,"(52.996, -109.84817)"
157,Cabezo de Mayo,L/LL6,25000.0,1870,37.98333,-1.16667,"(37.98333, -1.16667)"
158,Cabin Creek,"Iron, IIIAB",48500.0,1886,35.5,-93.5,"(35.5, -93.5)"
159,Cacak,OC,212.0,1919,43.83889,20.33333,"(43.83889, 20.33333)"
160,Cali,H/L4,478.0,2007,3.405,-76.51,"(3.405, -76.51)"
161,Calivo,Stone-uncl,2400.0,1916,11.75,122.33333,"(11.75, 122.33333)"
162,Campos Sales,L5,23680.0,1991,-7.03333,-40.16667,"(-7.03333, -40.16667)"
163,Çanakkale,L6,4000.0,1964,39.8,26.6,"(39.8, 26.6)"
164,Cañellas,H4,945.0,1861,41.25,1.66667,"(41.25, 1.66667)"
165,Cangas de Onis,H5,34000.0,1866,43.38333,-5.15,"(43.38333, -5.15)"
166,Canon City,H6,1400.0,1973,38.470279999999995,-105.24139,"(38.47028, -105.24139)"
167,Cape Girardeau,H6,2300.0,1846,37.26667,-89.58333,"(37.26667, -89.58333)"
168,Capilla del Monte,H6,750.0,1934,-30.883329999999997,-64.55,"(-30.88333, -64.55)"
169,Carancas,H4-5,342.0,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)"
170,Caratash,LL6,8.0,1902,38.5,27.0,"(38.5, 27.0)"
171,Castalia,H5,7300.0,1874,36.08333,-78.06667,"(36.08333, -78.06667)"
173,Castine,L6,94.0,1848,44.38333,-68.75,"(44.38333, -68.75)"
174,Castrovillari,Stone-uncl,15000.0,1583,39.8,16.2,"(39.8, 16.2)"
175,Caswell County,OC,1360.0,1810,36.5,-79.25,"(36.5, -79.25)"
176,Ceniceros,L3.7,1025.0,1988,26.46667,-105.23333000000001,"(26.46667, -105.23333)"
177,Centerville,H5,45.6,1956,43.2,-96.91667,"(43.2, -96.91667)"
178,Cereseto,H5,6460.0,1840,45.08333,8.3,"(45.08333, 8.3)"
179,Chadong,L6,3700.0,1998,28.53333,109.31667,"(28.53333, 109.31667)"
180,Chail,H6,0.5,1814,25.366670000000003,81.66667,"(25.36667, 81.66667)"
181,Chainpur,LL3.4,8200.0,1907,25.85,83.48333000000001,"(25.85, 83.48333)"
182,Chajari,L5,18300.0,1933,-30.78333,-58.05,"(-30.78333, -58.05)"
183,Chandakapur,L5,8800.0,1838,20.26667,76.01666999999999,"(20.26667, 76.01667)"
184,Chandpur,L6,1100.0,1885,27.28333,79.05,"(27.28333, 79.05)"
185,Changde,H5,1810.0,1977,29.08333,111.75,"(29.08333, 111.75)"
186,Chantonnay,L6,31500.0,1812,46.68333,1.05,"(46.68333, 1.05)"
187,Charlotte,"Iron, IVA",4300.0,1835,36.16667,-87.33333,"(36.16667, -87.33333)"
188,Charsonville,H6,27000.0,1810,47.93333,1.56667,"(47.93333, 1.56667)"
189,Charwallas,H6,12000.0,1834,29.48333,75.5,"(29.48333, 75.5)"
190,Chassigny,Martian (chassignite),4000.0,1815,47.71667,5.36667,"(47.71667, 5.36667)"
191,Château-Renard,L6,30000.0,1841,47.93333,2.91667,"(47.93333, 2.91667)"
192,Chaves,Howardite,2945.0,1925,41.93333,-7.46667,"(41.93333, -7.46667)"
193,Chela,H4,2936.0,1988,-3.66667,32.5,"(-3.66667, 32.5)"
194,Chelyabinsk,LL5,100000.0,2013,54.816669999999995,61.11666999999999,"(54.81667, 61.11667)"
195,Chergach ,H5,100000.0,2007,23.69639,-5.01472,"(23.69639, -5.01472)"
196,Chernyi Bor,H4,6000.0,1964,53.7,30.1,"(53.7, 30.1)"
197,Cherokee Springs,LL6,8400.0,1933,35.03333,-81.88333,"(35.03333, -81.88333)"
198,Chervettaz,L5,705.0,1901,46.55,6.816669999999999,"(46.55, 6.81667)"
199,Chervony Kut,Eucrite-mmict,1700.0,1939,50.83333,34.0,"(50.83333, 34.0)"
200,Chetrinahatti,Stone-uncl,72.0,1880,14.5,76.5,"(14.5, 76.5)"
201,Chiang Khan,H6,367.0,1981,17.9,101.63333,"(17.9, 101.63333)"
202,Chicora,LL6,303.0,1938,40.93333,-79.73333000000001,"(40.93333, -79.73333)"
203,Chisenga,"Iron, IIIAB",3920.0,1988,-10.059439999999999,33.395,"(-10.05944, 33.395)"
205,Chitenay,L6,4000.0,1978,47.47083,0.97667,"(47.47083, 0.97667)"
206,Cilimus,L5,1600.0,1979,-6.95,108.1,"(-6.95, 108.1)"
207,Claxton,L6,1455.0,1984,32.1025,-81.87278,"(32.1025, -81.87278)"
209,Colby (Wisconsin),L6,104000.0,1917,44.9,-90.28333,"(44.9, -90.28333)"
210,Cold Bokkeveld,CM2,5200.0,1838,-33.13333,19.383329999999997,"(-33.13333, 19.38333)"
211,Coleman,L6,469.0,1994,43.761109999999995,-84.50778000000001,"(43.76111, -84.50778)"
212,Collescipoli,H5,5000.0,1890,42.53333,12.61667,"(42.53333, 12.61667)"
213,Conquista,H4,20350.0,1965,-19.85,-47.55,"(-19.85, -47.55)"
214,Cosina,H5,1200.0,1844,21.16667,-100.86667,"(21.16667, -100.86667)"
215,Cranganore,L6,1460.0,1917,10.2,76.26666999999999,"(10.2, 76.26667)"
216,Crescent,CM2,78.4,1936,35.95,-97.58333,"(35.95, -97.58333)"
217,Cronstad,H5,3650.0,1877,-27.7,27.3,"(-27.7, 27.3)"
218,Cross Roads,H5,167.0,1892,35.63333,-78.13333,"(35.63333, -78.13333)"
219,Crumlin,L5,4255.0,1902,54.61666999999999,-6.21667,"(54.61667, -6.21667)"
220,Cumberland Falls,Aubrite,17000.0,1919,36.83333,-84.35,"(36.83333, -84.35)"
221,Cynthiana,L/LL4,6000.0,1877,38.4,-84.25,"(38.4, -84.25)"
222,Dahmani,LL6,18000.0,1981,35.61667,8.83333,"(35.61667, 8.83333)"
223,Dandapur,L6,5650.0,1878,26.91667,83.96667,"(26.91667, 83.96667)"
224,Daniel's Kuil,EL6,1064.0,1868,-28.2,24.566670000000002,"(-28.2, 24.56667)"
225,Danville,L6,2000.0,1868,34.4,-87.06667,"(34.4, -87.06667)"
226,Darmstadt,H5,100.0,1804,49.86667,8.65,"(49.86667, 8.65)"
227,Dashoguz,H5,7000.0,1998,41.98444,59.685,"(41.98444, 59.685)"
228,Daule,L5,6580.0,2008,-1.8708900000000002,-79.95756,"(-1.87089, -79.95756)"
229,De Cewsville,H6,340.0,1887,43.0,-80.0,"(43.0, -80.0)"
230,Deal,L6,28.0,1829,40.25,-74.0,"(40.25, -74.0)"
231,Delhi,L5,0.8,1897,28.566670000000002,77.25,"(28.56667, 77.25)"
232,Demina,L6,16400.0,1911,51.46667,84.76666999999999,"(51.46667, 84.76667)"
233,Denver,L6,230.0,1967,39.7825,-104.93056000000001,"(39.7825, -104.93056)"
234,Dergaon,H5,12500.0,2001,26.683329999999998,93.86667,"(26.68333, 93.86667)"
235,Desuri,H6,25400.0,1962,25.73333,73.61667,"(25.73333, 73.61667)"
236,Devgaon,H3.8,12000.0,2001,19.0,81.0,"(19.0, 81.0)"
237,Devri-Khera,L6,1140.0,1994,24.225,76.525,"(24.225, 76.525)"
238,Dhajala,H3.8,45000.0,1976,22.377779999999998,71.42721999999999,"(22.37778, 71.42722)"
239,Dharwar,OC,1800.0,1848,14.883329999999999,75.6,"(14.88333, 75.6)"
240,Dhurmsala,LL6,32000.0,1860,32.23333,76.46667,"(32.23333, 76.46667)"
241,Didim,H3-5,3396.0,2007,37.35172,27.32997,"(37.35172, 27.32997)"
242,Diep River,L6,1000.0,1906,-33.75,18.566670000000002,"(-33.75, 18.56667)"
243,Distrito Quebracho,H4,400.0,1957,-31.883329999999997,-60.46666999999999,"(-31.88333, -60.46667)"
244,Djati-Pengilon,H6,166000.0,1884,-7.5,111.5,"(-7.5, 111.5)"
245,Djermaia,H,3950.0,1961,12.73333,15.05,"(12.73333, 15.05)"
246,Djoumine,H5-6,10000.0,1999,36.95,9.55,"(36.95, 9.55)"
247,Dokachi,H5,3840.0,1903,23.5,90.33333,"(23.5, 90.33333)"
248,Dolgovoli,L6,1600.0,1864,50.75,25.3,"(50.75, 25.3)"
249,Domanitch,L5,438.0,1907,40.0,29.0,"(40.0, 29.0)"
250,Dong Ujimqin Qi,Mesosiderite,128800.0,1995,45.5,119.03333,"(45.5, 119.03333)"
251,Donga Kohrod,H6,230.0,1899,21.866670000000003,82.45,"(21.86667, 82.45)"
252,Dongtai,LL6,5500.0,1970,32.91667,120.78333,"(32.91667, 120.78333)"
253,Doroninsk,H5-7,3891.0,1805,51.2,112.3,"(51.2, 112.3)"
254,Dosso,L6,1250.0,1962,13.05,3.16667,"(13.05, 3.16667)"
255,Douar Mghila,LL6,1161.0,1932,32.33333,-6.3,"(32.33333, -6.3)"
256,Dowa,Stone-uncl,642.0,1976,-13.666670000000002,33.91667,"(-13.66667, 33.91667)"
257,Drake Creek,L6,5000.0,1827,36.4,-86.5,"(36.4, -86.5)"
258,Dresden (Ontario),H6,47700.0,1939,42.52,-82.26,"(42.52, -82.26)"
